level,model,project,run,criterion,dimension,metric,n,TP,FP,FN,TN
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Complete,,recall,67,0,3,0,64
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Complete,,balanced_accuracy,67,0,3,0,64
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Complete,,MCC,67,0,3,0,64
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Conflict-free,,recall,69,0,4,0,65
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Conflict-free,,balanced_accuracy,69,0,4,0,65
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Conflict-free,,MCC,69,0,4,0,65
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Uniform,,precision,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Uniform,,recall,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Uniform,,F1,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Uniform,,balanced_accuracy,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Uniform,,MCC,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Well-formed,,precision,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Well-formed,,recall,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Well-formed,,F1,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Well-formed,,balanced_accuracy,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,1,Well-formed,,MCC,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Complete,,recall,67,0,12,0,55
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Complete,,balanced_accuracy,67,0,12,0,55
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Complete,,MCC,67,0,12,0,55
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Conflict-free,,recall,69,0,4,0,65
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Conflict-free,,balanced_accuracy,69,0,4,0,65
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Conflict-free,,MCC,69,0,4,0,65
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Uniform,,precision,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Uniform,,recall,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Uniform,,F1,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Uniform,,balanced_accuracy,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Uniform,,MCC,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Well-formed,,precision,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Well-formed,,recall,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Well-formed,,F1,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Well-formed,,balanced_accuracy,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,2,Well-formed,,MCC,69,0,0,0,69
project_criterion,DeepSeek-V4-Pro,BADCamp,3,Complete,,recall,67,0,12,0,55
project_criterion,DeepSeek-V4-Pro,BADCamp,3,Complete,,balanced_accuracy,67,0,12,0,55
project_criterion,DeepSeek-V4-Pro,BADCamp,3,Complete,,MCC,67,0,12,0,55
