prompt_profile,model,project,criterion,runs,mean_pairwise_jaccard,min_pairwise_jaccard,unanimous_unit_rate,flip_unit_rate,fleiss_kappa_across_runs
few_shot,DeepSeek-V4-Pro,BADCamp,Atomic,5,0.4833333333333333,0.3333333333333333,0.9565217391304348,0.04347826086956519,0.6402919369786839
few_shot,DeepSeek-V4-Pro,BADCamp,Complete,5,0.3477601809954751,0.21428571428571427,0.7391304347826086,0.26086956521739135,0.4171381423856666
few_shot,DeepSeek-V4-Pro,BADCamp,Conceptually sound,5,0.3384126984126984,0.14285714285714285,0.8260869565217391,0.17391304347826086,0.4329155537291969
few_shot,DeepSeek-V4-Pro,BADCamp,Conflict-free,5,1.0,1.0,1.0,0.0,
few_shot,DeepSeek-V4-Pro,BADCamp,Estimatable,5,0.5797619047619047,0.2857142857142857,0.927536231884058,0.07246376811594202,0.6957671957671947
few_shot,DeepSeek-V4-Pro,BADCamp,Full sentence,5,0.7142857142857142,0.5555555555555556,0.927536231884058,0.07246376811594202,0.8139158576051773
few_shot,DeepSeek-V4-Pro,BADCamp,Independent,5,0.8508333333333333,0.7777777777777778,0.8115942028985508,0.18840579710144922,0.8020963704630788
few_shot,DeepSeek-V4-Pro,BADCamp,Minimal,5,0.8590909090909091,0.75,0.9565217391304348,0.04347826086956519,0.90796318527411
few_shot,DeepSeek-V4-Pro,BADCamp,Problem-oriented,5,0.8774675324675325,0.7619047619047619,0.9130434782608695,0.08695652173913049,0.9079206701157921
few_shot,DeepSeek-V4-Pro,BADCamp,Unambiguous,5,0.7703139589169001,0.6666666666666666,0.8985507246376812,0.10144927536231885,0.8332570207570208
few_shot,DeepSeek-V4-Pro,BADCamp,Uniform,5,1.0,1.0,1.0,0.0,
few_shot,DeepSeek-V4-Pro,BADCamp,Unique,5,0.55,0.2,0.8840579710144928,0.1159420289855072,0.5223076923076931
few_shot,DeepSeek-V4-Pro,BADCamp,Well-formed,5,1.0,1.0,1.0,0.0,
few_shot,DeepSeek-V4-Pro,PlanningPoker,Atomic,5,1.0,1.0,1.0,0.0,
few_shot,DeepSeek-V4-Pro,PlanningPoker,Complete,5,0.740989010989011,0.5384615384615384,0.8679245283018868,0.13207547169811318,0.8100118083670715
few_shot,DeepSeek-V4-Pro,PlanningPoker,Conceptually sound,5,0.16333333333333333,0.0,0.7547169811320755,0.24528301886792447,0.13573999100314915
few_shot,DeepSeek-V4-Pro,PlanningPoker,Conflict-free,5,0.8,0.5,0.9622641509433962,0.037735849056603765,0.8254281949934125
few_shot,DeepSeek-V4-Pro,PlanningPoker,Estimatable,5,0.8988888888888888,0.8,0.9622641509433962,0.037735849056603765,0.935340620730041
few_shot,DeepSeek-V4-Pro,PlanningPoker,Full sentence,5,0.4,0.0,0.9622641509433962,0.037735849056603765,0.23850574712643252
few_shot,DeepSeek-V4-Pro,PlanningPoker,Independent,5,0.8048429882576225,0.6486486486486487,0.6792452830188679,0.3207547169811321,0.6785623084780387
few_shot,DeepSeek-V4-Pro,PlanningPoker,Minimal,5,0.6455128205128206,0.46153846153846156,0.8490566037735849,0.15094339622641506,0.7189393939393935
few_shot,DeepSeek-V4-Pro,PlanningPoker,Problem-oriented,5,0.8103150183150183,0.72,0.8301886792452831,0.16981132075471694,0.8148579413134607
few_shot,DeepSeek-V4-Pro,PlanningPoker,Unambiguous,5,0.7278554778554779,0.6153846153846154,0.8679245283018868,0.13207547169811318,0.8023082324030192
few_shot,DeepSeek-V4-Pro,PlanningPoker,Uniform,5,1.0,1.0,1.0,0.0,
few_shot,DeepSeek-V4-Pro,PlanningPoker,Unique,5,0.5733333333333334,0.3333333333333333,0.9245283018867925,0.07547169811320753,0.6857210626185958
few_shot,DeepSeek-V4-Pro,PlanningPoker,Well-formed,5,1.0,1.0,1.0,0.0,1.0
few_shot,DeepSeek-V4-Pro,Zooniverse,Atomic,5,0.8461538461538461,0.6153846153846154,0.9166666666666666,0.08333333333333337,0.8692810457516341
few_shot,DeepSeek-V4-Pro,Zooniverse,Complete,5,0.22546011396011395,0.04,0.5666666666666667,0.43333333333333335,0.2009943181818178
few_shot,DeepSeek-V4-Pro,Zooniverse,Conceptually sound,5,0.9724137931034482,0.9310344827586207,0.9333333333333333,0.06666666666666665,0.7002997002996998
few_shot,DeepSeek-V4-Pro,Zooniverse,Conflict-free,5,1.0,1.0,1.0,0.0,
few_shot,DeepSeek-V4-Pro,Zooniverse,Estimatable,5,0.8255266444921616,0.7407407407407407,0.8333333333333334,0.16666666666666663,0.8354285714285715
few_shot,DeepSeek-V4-Pro,Zooniverse,Full sentence,5,1.0,1.0,1.0,0.0,
few_shot,DeepSeek-V4-Pro,Zooniverse,Independent,5,0.48,0.25,0.8333333333333334,0.16666666666666663,0.5925925925925923
few_shot,DeepSeek-V4-Pro,Zooniverse,Minimal,5,0.3314935064935065,0.0,0.8166666666666667,0.18333333333333335,0.48466726046570807
few_shot,DeepSeek-V4-Pro,Zooniverse,Problem-oriented,5,0.5839601812284588,0.37037037037037035,0.6833333333333333,0.31666666666666665,0.6033673304192975
few_shot,DeepSeek-V4-Pro,Zooniverse,Unambiguous,5,0.8170516139937118,0.7391304347826086,0.7333333333333333,0.2666666666666667,0.7082279712118266
few_shot,DeepSeek-V4-Pro,Zooniverse,Uniform,5,1.0,1.0,1.0,0.0,
few_shot,DeepSeek-V4-Pro,Zooniverse,Unique,5,0.6,0.0,0.9666666666666667,0.033333333333333326,0.7431506849315069
few_shot,DeepSeek-V4-Pro,Zooniverse,Well-formed,5,1.0,1.0,1.0,0.0,
few_shot,Gemini-3.1-Pro-Preview,BADCamp,Atomic,5,0.7,0.5,0.9855072463768116,0.01449275362318836,0.7812764158918015
few_shot,Gemini-3.1-Pro-Preview,BADCamp,Complete,5,0.8736842105263157,0.6842105263157895,0.9130434782608695,0.08695652173913049,0.9023584905660373
few_shot,Gemini-3.1-Pro-Preview,BADCamp,Conceptually sound,5,0.75,0.375,0.927536231884058,0.07246376811594202,0.827775559105431
few_shot,Gemini-3.1-Pro-Preview,BADCamp,Conflict-free,5,0.6,0.0,0.9710144927536232,0.02898550724637683,0.7440652818991093
few_shot,Gemini-3.1-Pro-Preview,BADCamp,Estimatable,5,0.4,0.0,0.9710144927536232,0.02898550724637683,0.4911504424778764
few_shot,Gemini-3.1-Pro-Preview,BADCamp,Full sentence,5,0.6,0.0,0.927536231884058,0.07246376811594202,0.7346153846153846
