prompt_profile,model,dimension,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,recall_mean,recall_sd,F1_mean,F1_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,FPR_mean,FPR_sd,FNR_mean,FNR_sd,NPV_mean,NPV_sd,MCC_mean,MCC_sd
few_shot,DeepSeek-V4-Pro,Pragmatic,5,36.8,2.7748873851023217,129.4,3.361547262794322,42.2,2.7748873851023217,883.6,3.361547262794322,0.22129432458754356,0.012950191512717034,0.46582278481012657,0.03512515677344711,0.30000707706123797,0.018964287560414746,0.8722606120434353,0.0033184079593231225,0.8428571428571429,0.003697184842158659,0.669041698426781,0.017400070808230188,0.12773938795656464,0.0033184079593231238,0.5341772151898734,0.03512515677344711,0.9544253050972589,0.002843691996410256,0.2437247691962024,0.023344764064287548
few_shot,DeepSeek-V4-Pro,Semantic,5,96.8,6.016643582596529,96.4,7.536577472566709,69.2,6.016643582596529,465.6,7.536577472566709,0.5012472782187924,0.02074014553240832,0.5831325301204819,0.03624484085901525,0.5387472820084902,0.02347453548166308,0.8284697508896798,0.013410280200296592,0.7725274725274726,0.010798485718150307,0.7058011405050808,0.017022707505371965,0.17153024911032028,0.013410280200296627,0.4168674698795181,0.036244840859015234,0.8707060062863168,0.009273949054412776,0.3912244370180019,0.02978225604288085
few_shot,DeepSeek-V4-Pro,Syntactic,5,27.8,4.868264577855234,9.8,3.420526275297414,30.2,4.868264577855234,478.2,3.420526275297414,0.7441497719150284,0.043638995718142046,0.4793103448275862,0.08393559616991782,0.5781904226551967,0.06033001858956767,0.9799180327868852,0.007009275154297975,0.9267399267399268,0.005934744229311232,0.7296141888072357,0.03941630350951523,0.020081967213114754,0.0070092751542979795,0.5206896551724138,0.08393559616991783,0.9406982441647861,0.008664697929000832,0.5586594916998652,0.04926427536252181
few_shot,GPT-5-Mini,Pragmatic,5,23.2,5.761944116355173,116.8,16.813684902483452,55.8,5.761944116355173,896.2,16.813684902483452,0.16660168015076512,0.044031197647620285,0.2936708860759494,0.0729360014728503,0.21208468578404555,0.05383368583860521,0.8846989141164856,0.016597912045886946,0.841941391941392,0.01681843310776459,0.5891849000962175,0.03828368041457176,0.11530108588351431,0.016597912045886926,0.7063291139240506,0.07293600147285031,0.9413908081230613,0.005839106343706867,0.13866890699803994,0.061418521921069634
few_shot,GPT-5-Mini,Semantic,5,66.0,3.082207001484488,20.2,1.0954451150103321,100.0,3.082207001484488,541.8,1.0954451150103321,0.7653483816237713,0.017545899146348267,0.3975903614457831,0.018567512057135485,0.523261402915056,0.020095727522977978,0.9640569395017794,0.0019491905961038485,0.8348901098901098,0.0056134111927754055,0.6808236504737812,0.01015955270002991,0.035943060498220644,0.0019491905961037915,0.6024096385542169,0.018567512057135485,0.8441994176291077,0.004292024557383374,0.4694894983074335,0.021505413029005566
few_shot,GPT-5-Mini,Syntactic,5,15.4,3.847076812334269,2.8,1.4832396974191326,42.6,3.847076812334269,485.2,1.4832396974191326,0.8443943191311613,0.07065495359226952,0.2655172413793104,0.06632891055748741,0.40096709775960304,0.08016420131861934,0.9942622950819672,0.0030394256094654465,0.9168498168498168,0.007163958687035884,0.6298897682306388,0.032972338034157146,0.005737704918032787,0.0030394256094654353,0.7344827586206897,0.0663289105574874,0.9193283380735388,0.0066752895790156705,0.44333985381290536,0.07125935182657259
few_shot,Gemini-3.1-Pro-Preview,Pragmatic,5,31.4,9.126883367283709,154.0,2.7386127875258306,47.6,9.126883367283709,859.0,2.7386127875258306,0.1676105907502296,0.03937461743546954,0.39746835443037976,0.1155301692061229,0.2356562400677673,0.059233189405381394,0.8479763079960513,0.002703467707330521,0.8153846153846154,0.007400038040599579,0.6227223312132155,0.057087402892997303,0.15202369200394866,0.0027034677073305316,0.6025316455696202,0.1155301692061229,0.9475840095301884,0.009484428743692956,0.1681142330245022,0.07473801148153268
few_shot,Gemini-3.1-Pro-Preview,Semantic,5,78.6,1.816590212458495,37.6,1.816590212458495,87.4,1.816590212458495,524.4,1.816590212458495,0.6764375571998077,0.014650769530181235,0.4734939759036145,0.010943314532882506,0.5570440818986041,0.012173948646545094,0.9330960854092527,0.003232366926082736,0.8282967032967032,0.0046581936697289335,0.7032950306564336,0.006758838458112113,0.06690391459074733,0.0032323669260827326,0.5265060240963855,0.010943314532882492,0.8571441493603968,0.002875191010575768,0.4657740005040651,0.015165016357653018
few_shot,Gemini-3.1-Pro-Preview,Syntactic,5,23.2,0.4472135954999579,4.6,1.3416407864998738,34.8,0.4472135954999579,483.4,1.3416407864998738,0.8362845073189901,0.03873540842471114,0.4,0.007710579232757886,0.5408324332867943,0.0073142220235370035,0.9905737704918034,0.0027492639067620023,0.9278388278388279,0.0020882333793024433,0.6952868852459017,0.0032511535421294296,0.00942622950819672,0.002749263906762036,0.6,0.0077105792327579106,0.9328455632968508,0.000720142548736614,0.5479205456795275,0.01363059679491822
one_shot,DeepSeek-V4-Pro,Pragmatic,5,37.4,6.8044103344816,115.6,15.076471735787521,41.6,6.8044103344816,897.4,15.076471735787521,0.24460675961073491,0.03213978661063827,0.47341772151898737,0.08613177638584306,0.32173664853825634,0.045130556762076744,0.885883514313919,0.014882992829010401,0.856043956043956,0.0134649643045515,0.6796506179164532,0.04160206861887729,0.11411648568608095,0.01488299282901039,0.5265822784810126,0.08613177638584305,0.9557520617642414,0.006833535983320976,0.2680444596392059,0.05520734043058764
