prompt_profile,model,criterion,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,recall_mean,recall_sd,F1_mean,F1_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,FPR_mean,FPR_sd,FNR_mean,FNR_sd,NPV_mean,NPV_sd,MCC_mean,MCC_sd
few_shot,DeepSeek-V4-Pro,Atomic,5,9.6,0.5477225575051661,2.0,2.345207879911715,4.4,0.5477225575051661,166.0,2.345207879911715,0.8522727272727273,0.14238595552433714,0.6857142857142857,0.03912303982179756,0.7538550724637681,0.058807872683162184,0.9880952380952381,0.013959570713760205,0.9648351648351647,0.01203785840670695,0.8369047619047618,0.01802991813197738,0.011904761904761904,0.013959570713760206,0.3142857142857143,0.039123039821797594,0.9741956977081839,0.0029980696027663042,0.7436685716268224,0.06954137462986675
few_shot,DeepSeek-V4-Pro,Complete,5,0.0,0.0,28.6,8.502940667792526,1.0,0.0,152.4,8.502940667792526,0.0,0.0,0.0,0.0,0.0,0.0,0.841988950276243,0.04697757275023495,0.8373626373626374,0.046719454218640266,0.4209944751381215,0.023488786375117476,0.1580110497237569,0.046977572750234946,1.0,0.0,0.9934652736011602,0.0003570341957206247,-0.031923267778163,0.005795791093283647
few_shot,DeepSeek-V4-Pro,Conceptually sound,5,1.6,0.5477225575051661,65.4,4.722287581247038,2.4,0.5477225575051661,112.6,4.722287581247038,0.023621607893141473,0.007105900566821575,0.4,0.13693063937629152,0.04459912929911001,0.013517629379525711,0.6325842696629214,0.026529705512623798,0.6274725274725275,0.024075716813413885,0.5162921348314606,0.06057752135840105,0.36741573033707864,0.02652970551262379,0.6,0.13693063937629152,0.9792167512661074,0.004125660434651184,0.009622366322071096,0.03687639590529774
few_shot,DeepSeek-V4-Pro,Conflict-free,5,0.0,0.0,2.4,0.8944271909999159,0.0,0.0,179.6,0.8944271909999159,0.0,0.0,,,0.0,0.0,0.9868131868131869,0.004914435115384186,0.9868131868131869,0.004914435115384186,,,0.013186813186813187,0.004914435115384154,,,1.0,0.0,,
few_shot,DeepSeek-V4-Pro,Estimatable,5,23.0,1.8708286933869707,15.6,1.51657508881031,36.0,1.8708286933869707,107.4,1.51657508881031,0.596014914435967,0.017460144043549786,0.3898305084745763,0.03170896090486391,0.4707922700605984,0.024291912858657512,0.8731707317073172,0.012329878770815553,0.7164835164835165,0.0073716526730762035,0.6315006200909468,0.012311500310397823,0.12682926829268293,0.012329878770815528,0.6101694915254237,0.031708960904863914,0.7490750572202483,0.008225301295015036,0.30116540593083296,0.02249964220508565
few_shot,DeepSeek-V4-Pro,Full sentence,5,6.8,1.3038404810405297,1.2,1.3038404810405297,2.2,1.3038404810405297,171.8,1.3038404810405297,0.8787878787878787,0.12514658276125118,0.7555555555555555,0.14487116456005883,0.7961904761904762,0.06258881318899691,0.9930635838150289,0.007536650179425041,0.9813186813186814,0.004914435115384179,0.8743095696852923,0.06959629560267319,0.006936416184971097,0.007536650179425027,0.2444444444444444,0.14487116456005886,0.9874333363438492,0.007295750045790368,0.7977321550143351,0.055104965875210854
few_shot,DeepSeek-V4-Pro,Independent,5,3.0,0.0,79.0,6.59545297913646,0.0,0.0,100.0,6.59545297913646,0.03676313801577787,0.002767396592500549,1.0,0.0,0.07090804957707415,0.005160114224309945,0.5586592178770949,0.036846106028695334,0.5659340659340659,0.036238752632617915,0.7793296089385475,0.018423053014347657,0.44134078212290506,0.036846106028695313,0.0,0.0,1.0,0.0,0.1433095710061813,0.010116219365910012
few_shot,DeepSeek-V4-Pro,Minimal,5,18.2,4.324349662087931,6.8,1.7888543819998317,25.8,4.324349662087931,131.2,1.7888543819998317,0.7285759355749403,0.015366681251937474,0.4136363636363637,0.09828067413836207,0.5218283497815093,0.08267363579622966,0.9507246376811593,0.012962712913042226,0.820879120879121,0.014845336358358574,0.6821805006587616,0.04307738170073781,0.04927536231884058,0.012962712913042258,0.5863636363636363,0.09828067413836207,0.8363107438053632,0.021001919745993303,0.45168611738155706,0.06322694910513406
few_shot,DeepSeek-V4-Pro,Problem-oriented,5,55.4,6.985699678629192,4.4,1.140175425099138,36.6,6.985699678629192,85.6,1.140175425099138,0.9259291204089954,0.018547165692839263,0.6021739130434783,0.0759315182459695,0.7277569258939864,0.05886793644159076,0.9511111111111111,0.012668615834434875,0.7747252747252747,0.03826480295929703,0.7766425120772947,0.037857801624376734,0.048888888888888885,0.012668615834434866,0.3978260869565217,0.07593151824596948,0.7023150251440992,0.03957696727450374,0.5893553023217404,0.0639946932841358
few_shot,DeepSeek-V4-Pro,Unambiguous,5,39.8,1.9235384061671346,24.2,5.019960159204453,30.2,1.9235384061671346,87.8,5.019960159204453,0.6242559523809523,0.058786710124461766,0.5685714285714286,0.02747912008810194,0.5947406403494384,0.04069638984196189,0.7839285714285714,0.04482107285003976,0.701098901098901,0.036570464378667546,0.6762499999999999,0.03438137695952055,0.21607142857142855,0.04482107285003977,0.4314285714285714,0.027479120088101907,0.743636508507265,0.02157276511850291,0.36009286551795,0.07435343134190708
